时间,电机温度1,出口温度,散热片温度,电机温度2,进口温度
2020-12-10 00:00:24,42.5,93.7,53,67.2,24.7
2020-12-10 00:00:54,42.5,93.7,53,67.3,24.7
2020-12-10 00:01:24,42.6,93.7,53,67.4,24.7
2020-12-10 00:01:54,42.7,93.7,53,67.4,24.8
2020-12-10 00:02:24,42.6,93.7,53,67.5,24.7
2020-12-10 00:02:54,42.7,93.8,53,67.6,24.8
2020-12-10 00:03:24,42.6,93.8,53,67.6,24.8
2020-12-10 00:03:54,42.8,94.0,53,67.7,25.0
2020-12-10 00:04:24,42.9,94.1,53,67.8,25.1
2020-12-10 00:04:54,42.9,94.0,53,67.8,25.1
2020-12-10 00:05:24,42.8,91.5,53,67.9,25.3
2020-12-10 00:05:54,42.7,88.3,53,67.8,25.4
2020-12-10 00:06:24,42.5,85.3,52,67.7,25.6
2020-12-10 00:06:54,42.3,82.4,52,67.5,25.9
2020-12-10 00:07:24,42.1,80.4,51,67.2,26.1
2020-12-10 00:07:54,41.9,79.5,50,66.8,26.3
2020-12-10 00:08:24,41.7,79.2,50,66.5,26.4
2020-12-10 00:08:54,41.6,78.6,49,66.2,26.3
2020-12-10 00:09:24,41.4,78.4,48,65.8,26.3
2020-12-10 00:09:54,41.3,78.2,48,65.5,26.3
2020-12-10 00:10:24,41.2,78.1,47,65.2,26.2
2020-12-10 00:10:54,41.0,77.9,47,64.9,26.2
2020-12-10 00:11:24,40.9,77.6,47,64.7,26.2
2020-12-10 00:11:54,40.8,77.5,46,64.4,26.2
2020-12-10 00:12:24,40.6,77.3,46,64.2,26.1
2020-12-10 00:12:54,40.5,77.2,46,63.9,26.0
2020-12-10 00:13:24,40.4,77.2,45,63.7,26.0
2020-12-10 00:13:54,40.3,77.0,45,63.5,26.0
2020-12-10 00:14:24,40.2,76.8,45,63.3,26.0
2020-12-10 00:14:54,40.1,76.8,45,63.1,26.0
2020-12-10 00:15:24,40.1,76.7,44,62.9,26.0
2020-12-10 00:15:54,39.9,76.6,44,62.8,25.9
2020-12-10 00:16:24,39.8,76.6,44,62.6,25.9
2020-12-10 00:16:54,39.7,76.5,44,62.4,25.8
2020-12-10 00:17:24,39.6,76.5,44,62.2,25.8
2020-12-10 00:17:54,39.5,76.5,43,62.1,25.8
2020-12-10 00:18:24,39.5,76.4,43,62.0,25.8
2020-12-10 00:18:54,39.4,76.4,43,61.8,25.8
2020-12-10 00:19:24,39.3,76.4,43,61.7,25.8
2020-12-10 00:19:54,39.2,76.3,43,61.6,25.8
2020-12-10 00:20:24,39.2,76.3,43,61.4,25.7
2020-12-10 00:20:54,39.1,76.2,43,61.3,25.7
2020-12-10 00:21:24,39.0,76.2,43,61.2,25.6
2020-12-10 00:21:54,39.0,76.2,43,61.1,25.6
2020-12-10 00:22:24,39.0,76.2,42,61.0,25.6
2020-12-10 00:22:54,38.9,76.1,42,60.9,25.6
2020-12-10 00:23:24,38.8,76.2,42,60.8,25.6
2020-12-10 00:23:54,38.7,76.2,42,60.7,25.6
2020-12-10 00:24:24,38.8,76.1,42,60.6,25.6
2020-12-10 00:24:54,38.7,76.1,42,60.5,25.6
2020-12-10 00:25:24,38.6,76.1,42,60.4,25.6
2020-12-10 00:25:54,38.6,76.1,42,60.3,25.5
2020-12-10 00:26:24,38.6,76.1,42,60.2,25.6
2020-12-10 00:26:54,38.5,76.1,42,60.2,25.6
2020-12-10 00:27:24,38.5,76.1,42,60.1,25.6
2020-12-10 00:27:54,38.4,76.1,42,60.0,25.6
2020-12-10 00:28:24,38.3,76.0,42,59.9,25.5
2020-12-10 00:28:54,38.3,76.0,42,59.8,25.5
2020-12-10 00:29:24,38.3,76.0,42,59.8,25.5
2020-12-10 00:29:54,38.2,76.1,42,59.7,25.4
2020-12-10 00:30:24,38.2,76.1,42,59.6,25.4
