时间,滤网差压
2020-12-10 00:00:24,0.9
2020-12-10 00:00:54,0.9
2020-12-10 00:01:24,0.9
2020-12-10 00:01:54,0.9
2020-12-10 00:02:24,0.9
2020-12-10 00:02:54,0.9
2020-12-10 00:03:24,0.9
2020-12-10 00:03:54,0.9
2020-12-10 00:04:24,0.9
2020-12-10 00:04:54,0.9
2020-12-10 00:05:24,0.8
2020-12-10 00:05:54,0.7
2020-12-10 00:06:24,0.7
2020-12-10 00:06:54,0.6
2020-12-10 00:07:24,0.6
2020-12-10 00:07:54,0.6
2020-12-10 00:08:24,0.6
2020-12-10 00:08:54,0.5
2020-12-10 00:09:24,0.5
2020-12-10 00:09:54,0.5
2020-12-10 00:10:24,0.5
2020-12-10 00:10:54,0.5
2020-12-10 00:11:24,0.5
2020-12-10 00:11:54,0.5
2020-12-10 00:12:24,0.5
2020-12-10 00:12:54,0.5
2020-12-10 00:13:24,0.5
2020-12-10 00:13:54,0.5
2020-12-10 00:14:24,0.5
2020-12-10 00:14:54,0.5
2020-12-10 00:15:24,0.5
2020-12-10 00:15:54,0.5
2020-12-10 00:16:24,0.5
2020-12-10 00:16:54,0.5
2020-12-10 00:17:24,0.5
2020-12-10 00:17:54,0.5
2020-12-10 00:18:24,0.5
2020-12-10 00:18:54,0.5
2020-12-10 00:19:24,0.5
2020-12-10 00:19:54,0.5
2020-12-10 00:20:24,0.5
2020-12-10 00:20:54,0.5
2020-12-10 00:21:24,0.5
2020-12-10 00:21:54,0.5
2020-12-10 00:22:24,0.5
2020-12-10 00:22:54,0.5
2020-12-10 00:23:24,0.5
2020-12-10 00:23:54,0.5
2020-12-10 00:24:24,0.5
2020-12-10 00:24:54,0.5
2020-12-10 00:25:24,0.5
2020-12-10 00:25:54,0.5
2020-12-10 00:26:24,0.5
2020-12-10 00:26:54,0.5
2020-12-10 00:27:24,0.5
2020-12-10 00:27:54,0.5
2020-12-10 00:28:24,0.5
2020-12-10 00:28:54,0.5
2020-12-10 00:29:24,0.5
2020-12-10 00:29:54,0.5
2020-12-10 00:30:24,0.5
2020-12-10 00:30:54,0.5
2020-12-10 00:31:24,0.5
2020-12-10 00:31:54,0.5
2020-12-10 00:32:24,0.5
2020-12-10 00:32:54,0.5
2020-12-10 00:33:24,0.5
2020-12-10 00:33:54,0.5
2020-12-10 00:34:24,0.5
2020-12-10 00:34:54,0.5
2020-12-10 00:35:24,0.5
2020-12-10 00:35:54,0.5
2020-12-10 00:36:24,0.5
2020-12-10 00:36:54,0.5
2020-12-10 00:37:24,0.5
2020-12-10 00:37:54,0.5
2020-12-10 00:38:24,0.5
2020-12-10 00:38:54,0.5
2020-12-10 00:39:24,0.5
2020-12-10 00:39:54,0.5
2020-12-10 00:40:24,0.5
2020-12-10 00:40:54,0.5
2020-12-10 00:41:24,0.5
2020-12-10 00:41:54,0.5
2020-12-10 00:42:24,0.5
2020-12-10 00:42:54,0.5
2020-12-10 00:43:24,0.5
2020-12-10 00:43:54,0.5
2020-12-10 00:44:24,0.5
2020-12-10 00:44:54,0.5
2020-12-10 00:45:24,0.5
2020-12-10 00:45:54,0.5
2020-12-10 00:46:24,0.5
2020-12-10 00:46:54,0.5
2020-12-10 00:47:24,0.5
2020-12-10 00:47:54,0.5
2020-12-10 00:48:24,0.5
2020-12-10 00:48:54,0.5
2020-12-10 00:49:24,0.5
2020-12-10 00:49:54,0.5
2020-12-10 00:50:24,0.5
2020-12-10 00:50:54,0.5
2020-12-10 00:51:24,0.5
2020-12-10 00:51:54,0.5
