时间,轴心轨迹
2020-12-10 00:00:04,0.36
2020-12-10 00:00:14,0.36
2020-12-10 00:00:24,0.37
2020-12-10 00:00:34,0.35
2020-12-10 00:00:44,0.34
2020-12-10 00:00:54,0.36
2020-12-10 00:01:04,0.36
2020-12-10 00:01:14,0.35
2020-12-10 00:01:24,0.33
2020-12-10 00:01:34,0.36
2020-12-10 00:01:44,0.34
2020-12-10 00:01:54,0.34
2020-12-10 00:02:04,0.33
2020-12-10 00:02:14,0.35
2020-12-10 00:02:24,0.36
2020-12-10 00:02:34,0.37
2020-12-10 00:02:44,0.35
2020-12-10 00:02:54,0.35
2020-12-10 00:03:04,0.34
2020-12-10 00:03:14,0.34
2020-12-10 00:03:24,0.35
2020-12-10 00:03:34,0.37
2020-12-10 00:03:44,0.36
2020-12-10 00:03:54,0.35
2020-12-10 00:04:04,0.38
2020-12-10 00:04:14,0.33
2020-12-10 00:04:24,0.33
2020-12-10 00:04:34,0.36
2020-12-10 00:04:44,0.35
2020-12-10 00:04:54,0.37
2020-12-10 00:05:04,0.38
2020-12-10 00:05:14,0.36
2020-12-10 00:05:24,0.36
2020-12-10 00:05:34,0.36
2020-12-10 00:05:44,0.35
2020-12-10 00:05:54,0.36
2020-12-10 00:06:04,0.35
2020-12-10 00:06:14,0.33
2020-12-10 00:06:24,0.32
2020-12-10 00:06:34,0.32
2020-12-10 00:06:44,0.33
2020-12-10 00:06:54,0.32
2020-12-10 00:07:04,0.37
2020-12-10 00:07:14,0.3
2020-12-10 00:07:24,0.32
2020-12-10 00:07:34,0.3
2020-12-10 00:07:44,0.32
2020-12-10 00:07:54,0.32
2020-12-10 00:08:04,0.32
2020-12-10 00:08:14,0.33
2020-12-10 00:08:24,0.33
2020-12-10 00:08:34,0.3
2020-12-10 00:08:44,0.3
2020-12-10 00:08:54,0.31
2020-12-10 00:09:04,0.31
2020-12-10 00:09:14,0.31
2020-12-10 00:09:24,0.32
2020-12-10 00:09:34,0.3
2020-12-10 00:09:44,0.3
2020-12-10 00:09:54,0.3
2020-12-10 00:10:04,0.31
2020-12-10 00:10:14,0.31
2020-12-10 00:10:24,0.29
2020-12-10 00:10:34,0.3
2020-12-10 00:10:44,0.31
2020-12-10 00:10:54,0.31
2020-12-10 00:11:04,0.31
2020-12-10 00:11:14,0.3
2020-12-10 00:11:24,0.32
2020-12-10 00:11:34,0.3
2020-12-10 00:11:44,0.3
2020-12-10 00:11:54,0.32
2020-12-10 00:12:04,0.29
2020-12-10 00:12:14,0.29
2020-12-10 00:12:24,0.33
2020-12-10 00:12:34,0.32
2020-12-10 00:12:44,0.31
2020-12-10 00:12:54,0.3
2020-12-10 00:13:04,0.32
2020-12-10 00:13:14,0.3
2020-12-10 00:13:24,0.31
2020-12-10 00:13:34,0.35
2020-12-10 00:13:44,0.36
2020-12-10 00:13:54,0.31
2020-12-10 00:14:04,0.31
2020-12-10 00:14:14,0.31
2020-12-10 00:14:24,0.3
2020-12-10 00:14:34,0.28
2020-12-10 00:14:44,0.28
2020-12-10 00:14:54,0.3
2020-12-10 00:15:04,0.29
2020-12-10 00:15:14,0.29
2020-12-10 00:15:24,0.3
2020-12-10 00:15:34,0.3
2020-12-10 00:15:44,0.32
2020-12-10 00:15:54,0.29
2020-12-10 00:16:04,0.32
2020-12-10 00:16:14,0.32
2020-12-10 00:16:24,0.29
2020-12-10 00:16:34,0.31
2020-12-10 00:16:44,0.32
2020-12-10 00:16:54,0.3
2020-12-10 00:17:04,0.3
2020-12-10 00:17:14,0.31
2020-12-10 00:17:24,0.31
2020-12-10 00:17:34,0.29
2020-12-10 00:17:44,0.29
2020-12-10 00:17:54,0.31
2020-12-10 00:18:04,0.3
2020-12-10 00:18:14,0.29
2020-12-10 00:18:24,0.3
2020-12-10 00:18:34,0.29
2020-12-10 00:18:44,0.31
2020-12-10 00:18:54,0.28
2020-12-10 00:19:04,0.3
2020-12-10 00:19:14,0.3
2020-12-10 00:19:24,0.28
2020-12-10 00:19:34,0.32
2020-12-10 00:19:44,0.31
2020-12-10 00:19:54,0.29
2020-12-10 00:20:04,0.3
2020-12-10 00:20:14,0.28
2020-12-10 00:20:24,0.29
2020-12-10 00:20:34,0.29
2020-12-10 00:20:44,0.3
2020-12-10 00:20:54,0.3
2020-12-10 00:21:04,0.29
2020-12-10 00:21:14,0.32
2020-12-10 00:21:24,0.28
2020-12-10 00:21:34,0.32
2020-12-10 00:21:44,0.34
2020-12-10 00:21:54,0.36
2020-12-10 00:22:04,0.38
2020-12-10 00:22:14,0.36
2020-12-10 00:22:24,0.34
2020-12-10 00:22:34,0.33
2020-12-10 00:22:44,0.35
2020-12-10 00:22:54,0.32
2020-12-10 00:23:04,0.3
2020-12-10 00:23:14,0.3
2020-12-10 00:23:24,0.3
2020-12-10 00:23:34,0.31
2020-12-10 00:23:44,0.29
2020-12-10 00:23:54,0.31
2020-12-10 00:24:04,0.31
2020-12-10 00:24:14,0.33
2020-12-10 00:24:24,0.3
2020-12-10 00:24:34,0.32
2020-12-10 00:24:44,0.32
2020-12-10 00:24:54,0.3
2020-12-10 00:25:04,0.3
2020-12-10 00:25:14,0.3
2020-12-10 00:25:24,0.3
2020-12-10 00:25:34,0.31
2020-12-10 00:25:44,0.31
2020-12-10 00:25:54,0.3
2020-12-10 00:26:04,0.29
2020-12-10 00:26:14,0.29
2020-12-10 00:26:24,0.33
2020-12-10 00:26:34,0.32
2020-12-10 00:26:44,0.3
2020-12-10 00:26:54,0.31
2020-12-10 00:27:04,0.31
2020-12-10 00:27:14,0.3
2020-12-10 00:27:24,0.28
2020-12-10 00:27:34,0.31
2020-12-10 00:27:44,0.28
2020-12-10 00:27:54,0.3
2020-12-10 00:28:04,0.28
2020-12-10 00:28:14,0.31
2020-12-10 00:28:24,0.32
2020-12-10 00:28:34,0.29
2020-12-10 00:28:44,0.3
2020-12-10 00:28:54,0.3
2020-12-10 00:29:04,0.28
2020-12-10 00:29:14,0.29
2020-12-10 00:29:24,0.29
2020-12-10 00:29:34,0.3
2020-12-10 00:29:44,0.32
2020-12-10 00:29:54,0.29
2020-12-10 00:30:04,0.3
2020-12-10 00:30:14,0.3
2020-12-10 00:30:24,0.31
2020-12-10 00:30:34,0.29
2020-12-10 00:30:44,0.31
2020-12-10 00:30:54,0.3
2020-12-10 00:31:04,0.3
2020-12-10 00:31:14,0.31
2020-12-10 00:31:24,0.31
2020-12-10 00:31:34,0.29
2020-12-10 00:31:44,0.3
2020-12-10 00:31:54,0.32
2020-12-10 00:32:04,0.31
2020-12-10 00:32:14,0.31
2020-12-10 00:32:24,0.31
2020-12-10 00:32:34,0.34
2020-12-10 00:32:44,0.35
2020-12-10 00:32:54,0.35
2020-12-10 00:33:04,0.32
2020-12-10 00:33:14,0.35
2020-12-10 00:33:24,0.35
2020-12-10 00:33:34,0.34
2020-12-10 00:33:44,0.34
2020-12-10 00:33:54,0.32
2020-12-10 00:34:04,0.32
2020-12-10 00:34:14,0.3
2020-12-10 00:34:24,0.31
2020-12-10 00:34:34,0.31
2020-12-10 00:34:44,0.3
2020-12-10 00:34:54,0.3
2020-12-10 00:35:04,0.3
2020-12-10 00:35:14,0.3
2020-12-10 00:35:24,0.3
2020-12-10 00:35:34,0.3
2020-12-10 00:35:44,0.29
2020-12-10 00:35:54,0.28
2020-12-10 00:36:04,0.31
2020-12-10 00:36:14,0.3
2020-12-10 00:36:24,0.31
2020-12-10 00:36:34,0.3
2020-12-10 00:36:44,0.29
2020-12-10 00:36:54,0.31
2020-12-10 00:37:04,0.3
2020-12-10 00:37:14,0.29
2020-12-10 00:37:24,0.31
2020-12-10 00:37:34,0.29
2020-12-10 00:37:44,0.29
2020-12-10 00:37:54,0.28
2020-12-10 00:38:04,0.31
2020-12-10 00:38:14,0.31
2020-12-10 00:38:24,0.31
2020-12-10 00:38:34,0.29
2020-12-10 00:38:44,0.29
2020-12-10 00:38:54,0.3
2020-12-10 00:39:04,0.3
2020-12-10 00:39:14,0.3
2020-12-10 00:39:24,0.31
2020-12-10 00:39:34,0.3
2020-12-10 00:39:44,0.3
2020-12-10 00:39:54,0.3
2020-12-10 00:40:04,0.31
2020-12-10 00:40:14,0.3
2020-12-10 00:40:24,0.31
2020-12-10 00:40:34,0.36
2020-12-10 00:40:44,0.3
2020-12-10 00:40:54,0.29
2020-12-10 00:41:04,0.31
2020-12-10 00:41:14,0.3
2020-12-10 00:41:24,0.28
2020-12-10 00:41:34,0.31
2020-12-10 00:41:44,0.31
2020-12-10 00:41:54,0.32
2020-12-10 00:42:04,0.29
2020-12-10 00:42:14,0.31
2020-12-10 00:42:24,0.29
2020-12-10 00:42:34,0.28
2020-12-10 00:42:44,0.29
2020-12-10 00:42:54,0.28
2020-12-10 00:43:04,0.3
2020-12-10 00:43:14,0.28
2020-12-10 00:43:24,0.3
2020-12-10 00:43:34,0.3
2020-12-10 00:43:44,0.3
2020-12-10 00:43:54,0.3
2020-12-10 00:44:04,0.29
2020-12-10 00:44:14,0.3
2020-12-10 00:44:24,0.29
2020-12-10 00:44:34,0.3
2020-12-10 00:44:44,0.29
2020-12-10 00:44:54,0.3
2020-12-10 00:45:04,0.31
2020-12-10 00:45:14,0.3
2020-12-10 00:45:24,0.31
2020-12-10 00:45:34,0.29
2020-12-10 00:45:44,0.29
2020-12-10 00:45:54,0.29
2020-12-10 00:46:04,0.3
2020-12-10 00:46:14,0.29
2020-12-10 00:46:24,0.28
2020-12-10 00:46:34,0.29
2020-12-10 00:46:44,0.3
2020-12-10 00:46:54,0.3
2020-12-10 00:47:04,0.29
2020-12-10 00:47:14,0.3
2020-12-10 00:47:24,0.3
2020-12-10 00:47:34,0.29
2020-12-10 00:47:44,0.31
2020-12-10 00:47:54,0.31
2020-12-10 00:48:04,0.29
2020-12-10 00:48:14,0.29
2020-12-10 00:48:24,0.3
2020-12-10 00:48:34,0.31
2020-12-10 00:48:44,0.3
2020-12-10 00:48:54,0.3
2020-12-10 00:49:04,0.29
2020-12-10 00:49:14,0.3
2020-12-10 00:49:24,0.3
2020-12-10 00:49:34,0.3
2020-12-10 00:49:44,0.3
2020-12-10 00:49:54,0.36
2020-12-10 00:50:04,0.34
2020-12-10 00:50:14,0.34
2020-12-10 00:50:24,0.33
2020-12-10 00:50:34,0.34
2020-12-10 00:50:44,0.32
2020-12-10 00:50:54,0.36
2020-12-10 00:51:04,0.35
2020-12-10 00:51:14,0.33
2020-12-10 00:51:24,0.34
2020-12-10 00:51:34,0.33
2020-12-10 00:51:44,0.31
2020-12-10 00:51:54,0.32
2020-12-10 00:52:04,0.33
2020-12-10 00:52:14,0.32
2020-12-10 00:52:24,0.32
2020-12-10 00:52:34,0.33
2020-12-10 00:52:44,0.34
2020-12-10 00:52:54,0.33
2020-12-10 00:53:04,0.32
2020-12-10 00:53:14,0.32
2020-12-10 00:53:24,0.33
