时间,输出电流,工作转速,出口压力,设定转速,运行功率,安全转速
2020-12-10 00:00:24,425.6,271.1,53.2,271,253.0,203.5
2020-12-10 00:00:54,425.7,271.2,53.2,271,253.6,203.4
2020-12-10 00:01:24,426.7,271.0,53.1,271,253.5,203.3
2020-12-10 00:01:54,424.3,271.2,53.2,271,252.9,203.5
2020-12-10 00:02:24,425.4,271.2,53.1,271,252.9,203.3
2020-12-10 00:02:54,424.8,271.1,53.1,271,253.2,203.3
2020-12-10 00:03:24,425.4,271.2,53.2,271,253.4,203.6
2020-12-10 00:03:54,425.2,271.1,53.2,271,252.5,203.7
2020-12-10 00:04:24,424.3,271.2,53.3,271,252.6,203.9
2020-12-10 00:04:54,399.3,267.7,53.2,265,241.1,203.6
2020-12-10 00:05:24,368.8,258.9,53.0,256,214.5,203.5
2020-12-10 00:05:54,340.0,249.9,52.7,247,190.4,203.0
2020-12-10 00:06:24,310.8,240.7,56.0,238,168.6,208.4
2020-12-10 00:06:54,297.3,232.3,55.6,232,150.5,207.8
2020-12-10 00:07:24,283.8,228.3,55.4,228,141.0,207.5
2020-12-10 00:07:54,284.4,228.2,55.6,228,141.4,208.0
2020-12-10 00:08:24,284.7,228.3,55.4,228,141.4,207.8
2020-12-10 00:08:54,281.1,227.1,55.5,227,139.0,207.7
2020-12-10 00:09:24,281.3,227.1,55.5,227,139.0,207.9
2020-12-10 00:09:54,280.1,227.2,55.5,227,138.8,207.9
2020-12-10 00:10:24,281.0,227.1,55.5,227,138.9,207.7
2020-12-10 00:10:54,281.0,227.1,55.7,227,138.8,208.1
2020-12-10 00:11:24,276.6,226.0,55.6,226,135.8,207.9
2020-12-10 00:11:54,277.7,226.0,55.8,226,136.7,208.3
2020-12-10 00:12:24,277.0,226.0,55.6,226,136.4,207.9
2020-12-10 00:12:54,277.5,226.0,55.6,226,136.4,207.8
2020-12-10 00:13:24,277.5,225.9,55.9,226,136.7,208.2
2020-12-10 00:13:54,269.0,223.2,55.7,225,129.8,208.0
2020-12-10 00:14:24,274.2,225.2,56.0,225,134.7,208.4
2020-12-10 00:14:54,275.7,225.2,55.9,225,135.1,208.2
2020-12-10 00:15:24,274.9,225.1,55.7,225,134.6,208.1
2020-12-10 00:15:54,274.8,225.2,55.6,225,134.6,207.9
2020-12-10 00:16:24,274.7,225.1,55.8,225,134.2,208.1
2020-12-10 00:16:54,274.3,225.1,55.9,225,134.4,208.2
2020-12-10 00:17:24,274.7,225.1,55.9,225,134.6,208.3
2020-12-10 00:17:54,274.6,225.0,55.8,225,134.4,208.2
2020-12-10 00:18:24,274.6,225.0,56.0,225,134.4,208.3
2020-12-10 00:18:54,274.2,225.2,56.1,225,134.5,208.6
2020-12-10 00:19:24,274.7,225.1,56.2,225,134.4,208.8
2020-12-10 00:19:54,274.9,225.1,56.3,225,134.5,208.8
2020-12-10 00:20:24,274.2,225.1,56.1,225,134.4,208.5
2020-12-10 00:20:54,275.1,225.1,56.1,225,134.4,208.5
2020-12-10 00:21:24,275.1,225.1,56.1,225,134.7,208.7
2020-12-10 00:21:54,274.4,225.1,56.3,225,134.3,208.9
2020-12-10 00:22:24,275.0,225.2,56.2,225,134.7,208.7
2020-12-10 00:22:54,275.1,225.1,56.2,225,134.7,208.8
2020-12-10 00:23:24,274.6,225.1,56.3,225,134.4,209.0
2020-12-10 00:23:54,274.2,225.1,56.3,225,134.5,209.0
2020-12-10 00:24:24,274.6,225.1,56.5,225,134.4,209.0
2020-12-10 00:24:54,274.9,225.1,56.5,225,134.6,209.1
2020-12-10 00:25:24,273.9,225.2,56.7,225,134.4,209.3
2020-12-10 00:25:54,274.7,225.1,56.6,225,134.6,209.3
2020-12-10 00:26:24,273.5,225.2,56.4,225,134.3,209.2
2020-12-10 00:26:54,274.4,225.1,56.7,225,134.3,209.4
2020-12-10 00:27:24,274.6,225.2,56.7,225,134.4,209.6
2020-12-10 00:27:54,274.2,225.1,56.6,225,134.4,209.4
2020-12-10 00:28:24,273.8,225.0,56.7,225,134.2,209.4
2020-12-10 00:28:54,273.7,225.2,56.8,225,134.4,209.6
2020-12-10 00:29:24,274.0,225.1,56.9,225,134.1,209.7
2020-12-10 00:29:54,273.7,225.1,57.0,225,133.9,209.9
2020-12-10 00:30:24,274.2,225.2,56.6,225,134.3,209.3
2020-12-10 00:30:54,273.6,225.1,57.0,225,134.2,209.8
2020-12-10 00:31:24,273.3,225.1,57.0,225,134.0,209.8
2020-12-10 00:31:54,274.2,225.0,57.0,225,134.2,209.7
2020-12-10 00:32:24,274.7,225.0,57.0,225,134.0,209.8
